,Marka,Model,Year,Price
0,Toyota,['Vellfire'],2009,7700000
1,Toyota,['Alphard'],2006,6500000
2,Toyota,['Vellfire'],2009,7700000
3,Toyota,['Estima'],2012,6300000
4,Toyota,['Estima'],2012,6500000
5,Toyota,['Vellfire'],2009,7500000
6,Toyota,['Vellfire'],2010,7800000
7,УАЗ,['3303'],1987,1300000
8,Toyota,['Estima'],2013,6300000
9,Kia,['K5'],2021,15800000
10,Zeekr,['001'],2023,29000000
11,Toyota,['Estima'],2012,6300000
12,Toyota,['Estima'],2012,6300000
13,Land,['Rover Range Rover'],2021,51000000
14,Land,['Rover Range Rover Sport'],2007,9000000
15,Dodge,['Challenger'],2019,20000000
16,Toyota,['Tacoma'],2005,13500000
17,Audi,['A5'],2007,8800000
18,Mini,['Hatch'],2002,4800000
19,Porsche,['Cayenne'],2007,9000000
20,Jeep,['Grand Cherokee'],2009,20000000
21,Maserati,['Quattroporte'],2004,8500000
22,BMW,['X5 M'],2009,16000000
23,Mercedes-Benz,['E 220'],2006,5500000
24,Toyota,['Estima'],2007,7500000
25,Hyundai,['Elantra'],2014,6800000
26,Toyota,['Carina E'],1992,2550000
27,Toyota,['Highlander'],2003,9000000
28,Hyundai,['Sonata'],2005,1600000
29,Toyota,['Land Cruiser Prado'],2006,11000000
30,Audi,['100'],1991,2800000
31,Mercedes-Benz,['E 320'],2000,7000000
32,Mitsubishi,['Montero Sport'],2000,5500000
33,Mercedes-Benz,['C 180'],2008,5300000
34,Hyundai,['Elantra'],2013,2250000
35,Honda,['Concerto'],1993,1300000
36,ВАЗ,['(Lada) 2114 (хэтчбек)'],2013,3150000
37,Nissan,['Terrano'],2016,6900000
38,Zeekr,['001'],2022,26400000
39,Nissan,['Patrol'],2006,12500000
40,BMW,['X5'],2011,10300000
41,Mercedes-Benz,['E 220'],1993,1680000
42,Kia,['K5'],2021,14000000
43,BMW,['X6'],2022,68000000
44,Mazda,['Cronos'],1995,2000000
45,Audi,['100'],1990,2200000
46,Subaru,['Outback'],2009,6700000
47,Toyota,['Carina E'],1994,1680000
48,Mercedes-Benz,['CLS 55 AMG'],2007,9500000
49,Audi,['100'],1991,1950000
